dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
05:33.4,15801,5203,2250,20,4,0,0,0.0144597,0.143020526,0.400390267,0.418939441,0.433484584,0.433484584,0.433484584
05:41.4,15633,5155,2369,18,3,0,0,0.01430645,0.141695455,0.412778884,0.42997095,0.441838354,0.441838354,0.441838354
05:49.4,15409,5030,2476,16,2,0,0,0.0141017,0.138387933,0.421605647,0.4370206,0.44633311,0.44633311,0.44633311
06:05.5,14965,4785,2573,14,1,0,0,0.01369486,0.131940454,0.426347286,0.439984202,0.445596248,0.445596248,0.445596248
06:22.5,18395,5398,1631,38,0,0,0,0.01683397,0.150226951,0.336870998,0.372548223,0.373567283,0.373567283,0.373567283
06:30.5,18528,5476,1631,37,0,0,0,0.01695523,0.152259976,0.338883787,0.373267949,0.375436157,0.375436157,0.375436157
06:48.4,18659,5550,1630,36,0,0,0,0.01707522,0.154223651,0.340673715,0.373797774,0.376475543,0.376475543,0.376475543
06:56.4,18790,5568,1602,34,0,0,0,0.017194919,0.15477699,0.338080376,0.369556338,0.372873724,0.372873724,0.372873724
07:04.4,18803,5523,1551,32,0,0,0,0.01720752,0.153673619,0.331087559,0.360463351,0.362631589,0.362631589,0.362631589
07:20.4,19486,5724,1547,30,0,0,0,0.01783227,0.159281477,0.336243033,0.364131778,0.367449164,0.367449164,0.367449164
07:37.5,21621,6631,1844,50,7,0,0,0.01978565,0.183622614,0.394620121,0.440379947,0.467049092,0.467049092,0.467049092
07:45.5,21476,6565,1838,54,6,0,0,0.019653119,0.181862786,0.392165542,0.442481667,0.467109054,0.467109054,0.467109054
08:03.4,21531,6583,1830,61,7,0,0,0.019703951,0.18237868,0.391720027,0.447756499,0.475065261,0.475065261,0.475065261
08:11.4,21621,6642,1824,65,8,0,0,0.0197863,0.183901608,0.392540097,0.452777803,0.482637823,0.485885859,0.485885859
08:19.4,21759,6819,1834,64,9,0,0,0.01991236,0.188408718,0.398291349,0.45707494,0.489616334,0.495060652,0.495060652
08:35.5,22317,7192,1862,70,9,0,0,0.02042258,0.198137388,0.411146551,0.475908548,0.510491669,0.511574328,0.511574328
08:52.5,25211,7870,1841,67,2,0,0,0.023070989,0.217527315,0.428124964,0.489655703,0.500117362,0.500117362,0.500117362
09:00.6,24990,7783,1780,63,2,0,0,0.02286863,0.215184614,0.41887489,0.476915449,0.485848516,0.485848516,0.485848516
09:18.4,24873,7833,1820,63,2,0,0,0.022761431,0.216320783,0.424543262,0.482874811,0.491807878,0.491807878,0.491807878
09:26.4,24814,7910,1916,68,2,0,0,0.02270814,0.218160912,0.437326044,0.499567837,0.508500874,0.508500874,0.508500874
09:34.4,24706,7965,1992,70,2,0,0,0.022609349,0.219427675,0.447374403,0.511878312,0.520298243,0.520298243,0.520298243
09:50.4,24358,7894,2031,70,1,0,0,0.022290681,0.217342079,0.449687749,0.514061749,0.520696461,0.520696461,0.520696461
10:07.5,18990,5213,662,9,0,0,0,0.017378639,0.146182045,0.222013414,0.23077096,0.23077096,0.23077096,0.23077096
10:15.5,18724,5101,626,8,0,0,0,0.01713497,0.143193334,0.214815661,0.222636133,0.222636133,0.222636133,0.222636133
10:33.3,18514,5014,598,7,0,0,0,0.01694295,0.140840009,0.209295526,0.216534004,0.216534004,0.216534004,0.216534004
10:41.4,18386,4959,582,7,0,0,0,0.016825469,0.139367491,0.206021369,0.213130817,0.213130817,0.213130817,0.213130817
10:49.4,18257,4904,567,7,0,0,0,0.016707519,0.137894467,0.202807441,0.209754914,0.209754914,0.209754914,0.209754914
11:05.4,18108,4859,671,18,0,0,0,0.016571561,0.136626825,0.213464066,0.230010077,0.231921718,0.231921718,0.231921718
11:22.5,17975,4817,741,24,0,0,0,0.016449731,0.135482356,0.220256969,0.242845416,0.246162787,0.246162787,0.246162787
11:30.5,15237,4514,1501,6,0,0,0,0.0139437,0.125486389,0.297229141,0.303013504,0.303013504,0.303013504,0.303013504
11:48.3,15209,4480,1450,6,0,0,0,0.01391814,0.124624938,0.290546864,0.296395302,0.296395302,0.296395302,0.296395302
11:56.3,15181,4444,1401,6,0,0,0,0.01389258,0.123708516,0.284011632,0.289990008,0.289990008,0.289990008,0.289990008
12:04.4,15155,4409,1354,6,0,0,0,0.0138686,0.12281023,0.277692497,0.283799917,0.283799917,0.283799917,0.283799917
12:20.4,14895,4281,1250,6,0,0,0,0.0136311,0.119419359,0.262482345,0.268460751,0.268460751,0.268460751,0.268460751
12:37.4,15167,4397,1233,20,0,0,0,0.01387945,0.12254189,0.263589233,0.281912386,0.283440977,0.283440977,0.283440977
12:45.5,16088,4729,618,72,2,0,0,0.01472295,0.131584689,0.202334493,0.268324584,0.278403193,0.278403193,0.278403193
13:03.3,15899,4647,589,73,2,0,0,0.01455012,0.129379705,0.196756706,0.264071852,0.272748321,0.272748321,0.272748321
13:11.3,15660,4557,556,67,1,0,0,0.01433089,0.126938984,0.190619946,0.252376735,0.259011477,0.259011477,0.259011477
13:19.3,15424,4469,526,61,1,0,0,0.01411498,0.124539942,0.184726849,0.241345331,0.246447876,0.246447876,0.246447876
13:35.4,14960,4297,469,52,0,0,0,0.01369008,0.119868383,0.173600331,0.221331298,0.224648669,0.224648669,0.224648669
13:52.4,14835,4246,458,49,0,0,0,0.0135759,0.118494228,0.170941666,0.215861425,0.219178796,0.219178796,0.219178796
14:00.4,23105,8065,2199,80,4,0,0,0.021143761,0.22042264,0.472003937,0.546105504,0.562056363,0.562056363,0.562056363
14:18.3,23208,8108,2492,82,5,0,0,0.02123777,0.221568957,0.506677151,0.581748724,0.600507498,0.600507498,0.600507498
14:26.3,23534,8219,2813,85,6,0,0,0.02153692,0.224621847,0.546415806,0.624298573,0.646884203,0.646884203,0.646884203
14:34.4,23941,8356,3027,88,7,0,0,0.021909339,0.228372753,0.574653447,0.655670404,0.682086587,0.682086587,0.682086587
14:50.4,24147,8353,2985,90,6,0,0,0.022097779,0.228504494,0.569970191,0.652700305,0.676178515,0.676178515,0.676178515
15:07.4,22060,7221,1006,16,0,0,0,0.020188119,0.198620141,0.313754767,0.328522742,0.328522742,0.328522742,0.328522742
15:15.5,21763,7096,1101,14,0,0,0,0.01991621,0.195259422,0.321276188,0.334590048,0.334590048,0.334590048,0.334590048
15:33.2,21461,6981,1233,13,0,0,0,0.019639671,0.192128807,0.333248883,0.345851719,0.345851719,0.345851719,0.345851719
15:41.3,21257,6979,1383,17,0,0,0,0.01945314,0.191896021,0.350130975,0.366030008,0.366030008,0.366030008,0.366030008
15:49.3,21059,6979,1527,20,0,0,0,0.019271299,0.191717684,0.366485834,0.385488003,0.385488003,0.385488003,0.385488003
16:05.3,20656,6960,1469,28,0,0,0,0.01890263,0.190882191,0.3589935,0.384846151,0.384846151,0.384846151,0.384846151
16:22.4,16109,4962,1190,26,1,0,0,0.0147416,0.137350798,0.273575097,0.297844589,0.303456664,0.308900982,0.308900982
16:30.4,17940,5684,1185,26,1,0,0,0.01641706,0.15687941,0.292425185,0.316435724,0.32204777,0.327492118,0.327492118
16:48.2,19867,6440,1180,25,1,0,0,0.01818064,0.177298889,0.312291145,0.335978657,0.342613399,0.348057747,0.348057747
16:56.2,21767,7184,1174,25,1,0,0,0.01991931,0.197433427,0.331811786,0.355208278,0.36184305,0.370566338,0.370566338
17:04.2,23533,7857,1172,25,2,0,0,0.02153527,0.215668753,0.349788517,0.372958958,0.38048631,0.389209598,0.389209598
17:20.3,23165,7708,1100,22,1,0,0,0.021198601,0.211651683,0.337486714,0.357878,0.363490075,0.368934393,0.368934393
17:37.3,17257,5427,461,48,1,0,0,0.01579199,0.149901345,0.202744544,0.247567311,0.253179371,0.253179371,0.253179371
17:45.3,17454,5455,486,51,1,0,0,0.015972409,0.150760576,0.206399053,0.253580958,0.26072526,0.26072526,0.26072526
18:03.2,17708,5506,518,55,2,0,0,0.01620503,0.152266264,0.211612925,0.262026072,0.270959139,0.270959139,0.270959139
18:11.2,17695,5480,519,54,2,0,0,0.016193001,0.151597217,0.211024627,0.260468662,0.268762112,0.268762112,0.268762112
18:19.2,17553,5421,507,51,2,0,0,0.0160629,0.150006473,0.208068594,0.255088538,0.262615889,0.262615889,0.262615889
18:35.2,17290,5315,495,46,1,0,0,0.015822429,0.147157952,0.203883067,0.246766731,0.252378792,0.252378792,0.252378792
18:52.3,24758,9324,2261,147,10,0,0,0.022656919,0.253040314,0.511751056,0.646317303,0.683834732,0.689279079,0.689279079
19:00.3,24827,9351,2272,159,12,0,0,0.0227201,0.253783196,0.513758361,0.659506261,0.70302242,0.71066308,0.71066308
19:18.1,24854,9346,2254,157,12,0,0,0.02274424,0.253674716,0.511577606,0.655871391,0.699640512,0.710560143,0.710560143
19:26.2,24817,9314,2224,152,11,0,0,0.022710729,0.252851546,0.507248223,0.647049785,0.689033806,0.699953377,0.699953377
19:34.2,24777,9280,2193,148,11,0,0,0.022673661,0.251967251,0.502849638,0.638546944,0.679128826,0.695492744,0.695492744
19:50.2,24325,9074,2017,125,8,0,0,0.02226075,0.246460393,0.477230668,0.591663659,0.620631099,0.626075447,0.626075447
20:07.3,20062,6597,767,76,1,0,0,0.018359739,0.181358188,0.269125968,0.339317292,0.344419837,0.344419837,0.344419837
20:15.3,19943,6547,896,77,1,0,0,0.01825022,0.180017516,0.282533109,0.353176475,0.35878855,0.35878855,0.35878855
20:33.1,19765,6476,1008,76,1,0,0,0.01808783,0.178101286,0.293405682,0.363370955,0.369879216,0.369879216,0.369879216
20:41.1,19608,6409,1115,75,1,0,0,0.017943859,0.176315203,0.303903371,0.373351604,0.379986346,0.379986346,0.379986346
20:49.2,19682,6376,1201,76,1,0,0,0.01801179,0.175562933,0.312950611,0.382527888,0.38916263,0.38916263,0.38916263
21:05.2,19760,6276,1151,69,1,0,0,0.018083051,0.173157051,0.304824889,0.368003756,0.373615831,0.373615831,0.373615831
21:22.3,16083,5105,1059,50,0,0,0,0.01471817,0.140854195,0.262003541,0.307989389,0.309008449,0.309008449,0.309008449
21:30.3,16407,5367,1221,58,1,0,0,0.0150148,0.147633836,0.287400663,0.340625942,0.344579309,0.344579309,0.344579309
21:48.1,16781,5655,1418,65,1,0,0,0.01535678,0.155100167,0.317309916,0.37709558,0.384239852,0.384239852,0.384239852
21:56.1,17145,5926,1599,71,2,0,0,0.015690001,0.162122294,0.345118701,0.410300732,0.419486761,0.419486761,0.419486761
22:04.1,17268,5981,1699,82,2,0,0,0.015802329,0.163584456,0.358032614,0.433750272,0.443828881,0.443828881,0.443828881
22:20.1,16842,5741,1538,91,1,0,0,0.01541301,0.157264456,0.333208114,0.417295307,0.423930049,0.423930049,0.423930049
22:37.2,16271,5095,491,30,2,0,0,0.01489013,0.140782714,0.197047323,0.225162104,0.235497281,0.235497281,0.235497281
22:45.2,16035,4986,459,27,2,0,0,0.01467409,0.137887105,0.190463781,0.215638325,0.223675191,0.223675191,0.223675191
23:03.0,15802,4880,429,24,1,0,0,0.0144608,0.135041326,0.184160218,0.206684619,0.212936327,0.212936327,0.212936327
23:11.0,15570,4774,415,21,1,0,0,0.01424854,0.132223636,0.179795504,0.199895784,0.204362303,0.204362303,0.204362303
23:19.0,15339,4670,461,19,0,0,0,0.01403722,0.129442692,0.182265744,0.200232923,0.203550294,0.203550294,0.203550294
23:35.1,14887,4470,549,20,0,0,0,0.0136236,0.124076478,0.186921299,0.206019536,0.208187759,0.208187759,0.208187759
43:10.7,15736,4248,1734,57,2,0,0,0.01440082,0.119379357,0.317741573,0.37041688,0.378200769,0.378200769,0.378200769
43:18.7,15694,4220,1735,54,1,0,0,0.01436243,0.118642934,0.317166775,0.367095828,0.3737306,0.3737306,0.3737306
43:34.8,15601,4173,1647,55,2,0,0,0.01427701,0.117396154,0.305869997,0.356897175,0.364424497,0.364424497,0.364424497
43:51.8,13783,4037,633,20,0,0,0,0.01261332,0.1123688,0.184803113,0.203643307,0.203643307,0.203643307,0.203643307
43:59.9,13595,3936,594,18,0,0,0,0.01244136,0.109711841,0.177751228,0.194620281,0.194620281,0.194620281,0.194620281
44:17.7,13601,3938,579,17,0,0,0,0.0124466,0.109746747,0.176049247,0.192110255,0.192110255,0.192110255,0.192110255
